City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Kudahuvadhoo,MV,82.06,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
1,Bambous Virieux,MU,82.99,light rain,-20.3428,57.7575,Casa Tia Villa
13,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Mahibadhoo,MV,82.81,clear sky,3.7833,72.9667,Omadhoo Inn
50,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Atuona,PF,80.92,few clouds,-9.8,-139.0333,Villa Enata
53,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Kavaratti,IN,83.55,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
74,Banda Aceh,ID,84.36,overcast clouds,5.5577,95.3222,Sulthan Hotel International
81,Ugoofaaru,MV,82.96,few clouds,5.6667,73.0,Ungoofaaru Inn
91,Tiarei,PF,80.6,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
112,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
121,Lorengau,PG,82.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Zemio,CF,80.49,overcast clouds,5.0314,25.1361,OCHA Office
139,Tabuk,PH,83.1,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
154,Hithadhoo,MV,82.78,few clouds,-0.6,73.0833,Scoop Guest House
160,Tuy Hoa,VN,84.36,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
169,Manama,BH,84.2,clear sky,26.2154,50.5832,Al Safir Hotel & Tower
195,Marawi,PH,84.0,light rain,7.9986,124.2928,Derogongan Residence
196,Luganville,VU,80.83,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
198,Tevaitoa,PF,81.9,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
205,Quatre Cocos,MU,82.99,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
206,Kavieng,PG,82.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
209,Son La,VN,81.39,scattered clouds,21.3167,103.9,Galaxy Grand Hotel
217,Faanui,PF,82.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
231,Abu Dhabi,AE,82.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
237,Ambulu,ID,83.46,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
246,Nelson Bay,AU,80.6,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
260,Robertsport,LR,80.26,light rain,6.7533,-11.3686,Kwepunha Retreat
267,Manokwari,ID,82.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
286,Sabang,ID,83.28,overcast clouds,5.8933,95.3214,Hotel Citra
298,Aswan,EG,82.38,few clouds,24.0934,32.907,Nuba Nile
302,Gazanjyk,TM,83.01,clear sky,39.2446,55.5154,Railway motel
312,Dong Hoi,VN,81.86,scattered clouds,17.4833,106.6,Nam Long Hotel
330,Daru,PG,81.72,overcast clouds,-9.0763,143.2092,Daru Lodge
358,Eyl,SO,83.7,clear sky,7.9803,49.8164,Amiin Hotel
368,Careiro Da Varzea,BR,80.6,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
370,Pundaguitan,PH,82.9,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
380,Perth,AU,80.6,few clouds,-31.9333,115.8333,Beatty Lodge
382,Cairns,AU,84.2,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
387,Ambon,ID,82.96,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
426,Ambilobe,MG,84.33,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
432,Garissa,KE,84.97,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
448,Ciudad Bolivar,VE,80.22,overcast clouds,8.1222,-63.5497,Hotel Edi
490,Innisfail,AU,80.56,scattered clouds,-17.5333,146.0333,Moondarra Motel
497,Wanning,CN,80.65,scattered clouds,18.8003,110.3967,Paradise Hotel
516,Wamba,NG,82.26,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
529,Fare,PF,81.64,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
531,Jetafe,PH,84.2,broken clouds,10.1472,124.1539,Prince and Princess Pension House
537,Qui Nhon,VN,82.13,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
546,Adjumani,UG,82.49,overcast clouds,3.3779,31.7909,Hotel Zawadi
548,Noumea,NC,80.6,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
576,Madang,PG,82.78,light rain,-5.2246,145.7966,Comfort Inn Hotel
595,Bandarbeyla,SO,83.16,clear sky,9.4942,50.8122,JABIR HOTEL
615,Trincomalee,LK,82.06,clear sky,8.5711,81.2335,Welcombe Hotel
616,Amahai,ID,80.74,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
639,Biak,ID,80.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
646,Luwuk,ID,82.36,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
665,Shadegan,IR,84.2,scattered clouds,30.6497,48.6647,مسافر خانه ابو ولید
673,Yei,SS,84.16,overcast clouds,4.095,30.6779,City Link Hotel
679,Yambio,SS,80.19,broken clouds,4.5721,28.3955,Naivasha Hotel
